product_name,product_link
Hot Chocolate Shaker,/products/hot-chocolate-shaker-new
Milk Chocolate Honeycomb - Bag,/products/milk-chocolate-honeycomb
61% Dark Hot Chocolate Drops,/products/62-dark-hot-chocolate
Roasted Almonds,/products/cocoa-dusted-almonds
Salted Caramels Milk Chocolate,/products/salt-caramels-milk-chocolate
Chocolate Caramelised Pecan Nuts,/products/chocolate-caramelised-pecan-nuts
Salt Caramelised Hazelnuts,/products/salt-caramelised-hazelnuts
Colombian 41%,/products/ecuadorian-41-milk-chocolate-bar
December Box of the Month,/products/box-of-the-month-subscription-1
Salted Caramel Florentines,/products/salted-caramel-florentines
Blonde Chocolate Malt Balls,/products/blonde-chocolate-malt-balls
Bulk 61% Dark Hot Chocolate Drops 750 grams,/products/750-gram-bulk-61-dark-hot-chocolate-drops
Christmas Truffle Selection,/products/pre-order-christmas-truffle-selection
Bulk 41% Milk Hot Chocolate Drops 750 grams,/products/bulk-41-milk-hot-chocolate-drops-750-grams
Marc De Champagne Truffles,/products/marc-de-champagne-truffles
Blonde Hot Chocolate Flakes,/products/blonde-hot-chocolate-flakes
Flat White Coffee,/products/flat-white-coffee
Blonde Caramel,/products/blonde-caramel-chocolate-bar
Ginger Biscuit,/products/ginger-biscuit-chocolate-bar
Caramelised Milk,/products/caramelised-milk-chocolate-bar
Oat M!lk Hot Chocolate Flakes,/products/oat-m-lk-hot-chocolate-flakes
Crunchy Biscuit,/products/crunchy-biscuit-blonde-chocolate-bar
2.5kg Bulk 41% Milk Hot Chocolate Drops,/products/2-5kg-bulk-of-our-41-milk-hot-chocolate-drops
Salt Caramel Malt Balls,/products/salt-caramel-malt-balls
Collection of 4 of our Best Selling Chocolate Malt Balls,/products/collection-of-our-best-selling-chocolate-malt-balls
Peppermint Malt Balls,/products/peppermint-malt-balls
Luxury Hot Chocolate Hamper,/products/luxury-hot-chocolate-hamper
Luxury Chocolate Hamper with bottle of Champagne,/products/copy-of-luxury-chocolate-hamper
Hot Chocolate Shaker,/products/hot-chocolate-shaker-new
Milk Chocolate Honeycomb - Bag,/products/milk-chocolate-honeycomb
61% Dark Hot Chocolate Drops,/products/62-dark-hot-chocolate
Roasted Almonds,/products/cocoa-dusted-almonds
Salted Caramels Milk Chocolate,/products/salt-caramels-milk-chocolate
Chocolate Caramelised Pecan Nuts,/products/chocolate-caramelised-pecan-nuts
Salt Caramelised Hazelnuts,/products/salt-caramelised-hazelnuts
Colombian 41%,/products/ecuadorian-41-milk-chocolate-bar
December Box of the Month,/products/box-of-the-month-subscription-1
Salted Caramel Florentines,/products/salted-caramel-florentines
Blonde Chocolate Malt Balls,/products/blonde-chocolate-malt-balls
Bulk 61% Dark Hot Chocolate Drops 750 grams,/products/750-gram-bulk-61-dark-hot-chocolate-drops
Christmas Truffle Selection,/products/pre-order-christmas-truffle-selection
Bulk 41% Milk Hot Chocolate Drops 750 grams,/products/bulk-41-milk-hot-chocolate-drops-750-grams
Marc De Champagne Truffles,/products/marc-de-champagne-truffles
Blonde Hot Chocolate Flakes,/products/blonde-hot-chocolate-flakes
Flat White Coffee,/products/flat-white-coffee
Blonde Caramel,/products/blonde-caramel-chocolate-bar
Ginger Biscuit,/products/ginger-biscuit-chocolate-bar
Caramelised Milk,/products/caramelised-milk-chocolate-bar
Oat M!lk Hot Chocolate Flakes,/products/oat-m-lk-hot-chocolate-flakes
Crunchy Biscuit,/products/crunchy-biscuit-blonde-chocolate-bar
2.5kg Bulk 41% Milk Hot Chocolate Drops,/products/2-5kg-bulk-of-our-41-milk-hot-chocolate-drops
Salt Caramel Malt Balls,/products/salt-caramel-malt-balls
